"","nomes","cargo_funcao","fala"
"1","




  @import ""https://www.senado.leg.br/atividade/css/impressao.css"";

	
		11/06/2021 - 19ª - CPI da Pandemia
	
	
		
			
				     Horário   Texto com revisão           ","




  @import ""https://www.senado.leg.br/atividade/css/impressao.css"";

	
		11/06/2021 - 19ª - CPI da Pandemia
	
	
		
			
				     Horário   Texto com revisão            ","




  @import ""https://www.senado.leg.br/atividade/css/impressao.css"";

	
		11/06/2021 - 19ª - CPI da Pandemia
	
	
		
			
				     Horário   Texto com revisão            "
"2","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP. Fala da Presidência.)","Havendo número regimental, declaro aberta a 19ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da Covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais, no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus.         A presente reunião destina-se a ouvirmos Natalia Pasternak, microbiologista e pesquisadora da Universidade de São Paulo; e Cláudio Maierovitch, médico sanitarista da Fundação Oswaldo Cruz e ex-Presidente da Agência Nacional de Vigilância Sanitária, a respeito de aspectos técnicos da Covid-19. Peço à Secretaria da Mesa conduzir os senhores convidados à mesa desta Comissão.  "
"3","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Sr. Presidente, pela ordem. "
"4","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Senador Humberto, por gentileza. "
"5","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE. Pela ordem.)","Não, é apenas parar registrar aqui, especialmente hoje, um dia em que nós recebemos duas pessoas de uma importância muito grande na saúde pública brasileira e, particularmente, no processo de acompanhamento e enfrentamento a essa pandemia, não é? Quero registrar, com muita indignação, a informação dada ontem pelo Presidente da República de que havia encomendado ao Ministério da Saúde um parecer, um estudo que promovesse a liberação do uso de máscaras para pessoas que já contraíram a doença ou para aquelas que já tenham sido vacinadas, num contexto em que apenas 11% da população brasileira já foi vacinada com duas doses – não é? – das vacinas que estão sendo aplicadas aqui no Brasil, muito longe do que seria o ideal em termos de cobertura populacional com a vacina. Isso é profundamente negativo e continua a demonstrar o desinteresse, a indiferença do Presidente da República com a sua população, e também a concepção que ele adotou, desde o início dessa pandemia, de permitir a maior transmissão possível entre as pessoas para que a pandemia se encerrasse mais rapidamente. É uma concepção, como nós já conversamos aqui, criminosa, na minha avaliação. Mas o que eu queria registrar é que ficou muito mal pro Ministro da Saúde, não é? Ele esteve aqui, demarcou algumas diferenças com o Presidente da República, disse que não era sensor do Presidente, que as imagens falavam por si próprias – não é? –, e disse que estava sintonizado com as orientações não farmacológicas para o enfrentamento à Covid-19. E foi tratado inclusive de forma desrespeitosa: tem um tal de Queiroga aí, que é Ministro da Saúde, que anda dizendo isso, aquilo e aquilo outro. Eu espero que o Sr. Queiroga tenha – não é? – a coerência de tomar atitudes conforme aquilo que ele nos falou e nos disse, e que não aceite, por parte do Presidente da República, essa tentativa de intromissão na ação do ministério para adotar uma posição profundamente equivocada. Então, eu espero que nós tenhamos do Ministro da Saúde uma posição digna no enfrentamento a mais essa tentativa de ampliar a tragédia que nós estamos vivendo no nosso País em termos sanitários.         Obrigado, Sr. Presidente. "
"6","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Muito obrigado, Senador Humberto Costa. Antecipo que compartilho da opinião de V. Exa. Os acontecimentos de ontem são lamentáveis e só mostram a necessidade do serviço, do trabalho desta Comissão Parlamentar de Inquérito. Cada vez mais, o serviço desta Comissão Parlamentar de Inquérito é imperioso para o Brasil e para os brasileiros. De imediato, então, passo inicialmente à Dra. Natalia Pasternak. Nós vamos adotar a dinâmica de 15 minutos para a Dra. Natalia, em seguida para o Dr. Cláudio Maierovitch. Em seguida, passaremos ao Sr. Relator, para as indagações que achar por bem serem necessárias. Em seguida, conforme a ordem de inscrição, passaremos para as Sras. e os Srs. Senadores, tanto presencialmente quanto no sistema remoto. Dra. Natalia, por gentileza, fique à vontade. "
"7","NATALIA PASTERNAK","","Sr. Presidente, eu posso ter apresentação no PowerPoint? "
"8","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Perfeitamente. A Secretaria da Mesa pode disponibilizar a apresentação para a Dra. Natalia? "
"9","NATALIA PASTERNAK","(Para expor.)","Vocês vão passando para mim? Muito obrigada. Sr. Presidente, Sr. Relator, Sras. e Srs. Senadores, muito obrigada pela oportunidade de falar nesta Casa e falar principalmente sobre evidências científicas em políticas públicas, que é justamente o mote do Instituto Questão de Ciência, que eu presido. Pode passar. Para explicar um pouco... Passa para mim, por favor? Para explicar um pouco sobre o meu trabalho e o que significam, então, evidências científicas em políticas públicas, eu preciso explicar um pouco para os senhores qual é o meu trabalho e de onde eu venho, não para dizer que eu sou qualquer coisa de especial, certamente eu não sou, mas porque os senhores não têm a menor obrigação de saber qual é a minha trajetória e quais as minhas qualificações. No centro do eslaide, os senhores estão vendo o Instituto Questão de Ciência, que é a minha atividade principal. O Questão de Ciência é uma ONG e é uma organização que se dedica a promover pensamento crítico e racional e políticas públicas baseadas em evidências científicas. Para isso eu tenho, no instituto, uma equipe multidisciplinar que produz conteúdo e assessoria para a população em geral e também para Parlamentares e gestores, para garantir que tenham embasamento para formular políticas públicas e decisões do dia a dia baseados em evidência científica e não em achismo, ideologia. Para isso, eu divido o meu trabalho em dois lados, como os senhores podem ver: um lado, que é a minha atividade acadêmica, e o outro lado, que é minha atividade de produção de conteúdo de divulgação científica.         Na minha atividade acadêmica, eu sou formada em Ciências Biológicas pela Universidade de São Paulo e eu fiz meu doutorado também na Universidade de São Paulo, no Instituto de Ciências Biomédicas, em microbiologia, onde eu também conduzi diversos trabalhos de pesquisa de pós-doutorado, que são os projetos que a gente faz depois de se doutorar. Eu também tenho o prazer de ser a única brasileira membro do Comitê para Investigação Cética, fundado nos Estados Unidos por ninguém menos do que Carl Sagan, na década de 70. Esse comitê também tem o papel de promover pensamento crítico e racional e combater pseudociências. Eu também atuo na Fundação Getúlio Vargas, em São Paulo, como professora visitante, dando aulas para jovens gestores, justamente sobre o uso de evidências científicas em processos decisórios na vida pública. E, recentemente, tive a grande honra de ser convidada, como professora visitante, pela Universidade de Colúmbia, nos Estados Unidos. Estarei deixando o Brasil no mês que vem, para cumprir o meu papel em Colúmbia, onde vou ficar por dois anos desenvolvendo projetos de diplomacia científica e cursos nessa área, para garantir que as evidências científicas sejam encaradas de maneira global e sincronizadas entre os países, principalmente quando tivermos outras crises sanitárias como esta. Do outro lado, eu atuo produzindo conteúdo para grandes veículos de imprensa e trazendo a ciência para a população. Para isso, eu tenho coluna no jornal O Globo, no Genetic Literacy, que é um portal internacional, na revista The Skeptic, do Reino Unido. Eu sou também a única brasileira colunista no Medscape internacional e eu tenho dois programas de rádio na rádio CBN, onde eu tenho o prazer, então, de levar para a população conceitos sobre como a ciência funciona e como a ciência interfere no nosso dia a dia. A comunicação da ciência, senhores, provou ser essencial durante a pandemia. Se a pandemia nos trouxe algum benefício, foi o de mostrar que a ciência precisa e pode ser levada e compreendida por toda a população, porque ela já está presente nas decisões que nós tomamos no dia a dia, seja como cidadãos, seja como gestores e Parlamentares. Pode passar, por favor. Para isso, a gente precisa entender um pouco o que, afinal, a gente quer dizer com ciência quando a gente fala de defender a ciência. A ciência, então, é vista por nós, cientistas, como um processo, um método. É um processo de investigação da realidade que pressupõe a nossa capacidade de mudar de ideia diante de novas evidências, desde que essas evidências sejam robustas, e da crítica dos nossos pares quando apontam alguma falha metodológica, algum erro no nosso trabalho. Com isso, a gente consegue produzir a melhor descrição possível da realidade em um determinado momento histórico, com as melhores ferramentas que a gente tem na mão naquele momento. O momento histórico, político, social, econômico pode mudar; as ferramentas podem mudar, elas podem ser melhoras. E, com isso, a gente pode mudar de ideia, diante de novas evidências, se essas evidências forem robustas o suficiente.         Pode passar. O que a gente não quer dizer com ciência? Ciência não é uma verdade absoluta, um dogma; ciência não é qualquer coisa que seja publicada num artigo científico, como a gente tem visto muito durante esta pandemia: “Ah, mas saiu num paper”. Não é porque saiu num periódico científico que automaticamente se torna ciência ou ciência de qualidade. Também não é qualquer coisa dita por um cara de jaleco que tem vírgula Ph.D. depois do nome e, definitivamente, não é qualquer coisa que seja ensinada numa universidade, porque infelizmente, nas nossas universidades, a gente também ensina bastante besteira. Pode passar. Portanto, a ciência não é uma questão de opinião, não é uma questão do que eu enxergo versus o que você enxerga, não é uma visão do mundo. Alguém desenhou um número no chão ali: ou é um seis ou é um nove. E não é como eu vejo, é o que desenharam no chão. E, pra descobrir o que desenharam no chão, a gente usa um método, esse método se chama método científico. É um processo investigativo que vai investigar pra descobrir que número, afinal, está no chão – é um seis ou é um nove. Não é uma questão de desrespeitar a opinião alheia, é questão que a ciência funciona buscando os fatos. E o fato é que ou é um seis ou é um nove, não dá pra ser os dois. Pode passar. Como que a gente faz, então, pra buscar os fatos – esse seis ou nove –, quando a gente está falando, por exemplo, de uma intervenção de saúde pública, do teste de um medicamento, como, por exemplo, a cloroquina? Vou usar a cloroquina como exemplo, porque, infelizmente, ela causa muita confusão no nosso País até hoje. Então, vamos avaliar. Como que a gente faz o seis ou o nove da cloroquina? Como que a gente investiga se um medicamento funciona pra uma doença ou não? A primeira coisa que a gente tem que ver é se existe plausibilidade biológica. Existe um mecanismo celular? Existe um mecanismo biológico que esse fármaco pode agir nessa doença? Ele pode impedir a entrada do vírus na célula? Ele pode impedir a replicação do vírus? O que ele pode fazer? No caso da cloroquina, infelizmente, ela nunca teve plausibilidade biológica pra funcionar. O caminho pelo qual ela bloqueia a entrada do vírus na célula só funciona in vitro, em tubo de ensaio, porque, nas células do trato respiratório, o caminho é outro. Então, ela já nunca poderia ter funcionado. Aí a gente examina também a probabilidade de ela funcionar. Ela já funcionou pra outras doenças, pra outras viroses? Não, ela nunca funcionou. A cloroquina já foi testada e falhou pra várias doenças provocadas por vírus, como zika, dengue, chikungunya, o próprio Sars, aids, ebola – nunca funcionou. Então, também não tem grande probabilidade de funcionar, nunca teve. Evidências anedóticas: ""Ah, mas o meu vizinho, o meu cunhado, o meu tio tomou e se curou"". Evidências anedóticas não são evidências científicas, elas não servem pra ciência, elas são apenas causos, histórias. E o plural de evidências anedóticas não é evidência científica, é só um monte de evidências anedóticas. Não interessa quantas pessoas a gente conhece que usaram cloroquina e se curaram, isso não se transforma em evidência científica, isso precisa ser investigado. Por quê? Correlação não é a mesma coisa que causa e efeito. Correlação são coisas que acontecem ao mesmo tempo e que, de repente, até suscitam uma pergunta pra ser investigada, mas não uma resposta. Resposta a gente investiga... Pra ter uma resposta, a gente precisa saber uma relação de causa e efeito. Pra isso, a gente usa estudos randomizados, controlados, duplos-cegos e com grupo placebo, de que os senhores tanto já ouviram falar. Esse é o tipo de estudo que consegue estabelecer uma relação de causa e efeito.         Correlação a gente vê nos estudos observacionais. Estudos observacionais são aqueles que olham pra trás, eles vão observar o que já aconteceu: ""Olhe, parece que tem um monte de gente que tomou cloroquina e melhorou"". Isso é uma observação, isso é uma correlação. Isso dá pra gente uma pergunta – será que a cloroquina funciona pra Covid-19? –, mas não nos dá uma resposta. Os estudos observacionais produzem perguntas. Os estudos randomizados, clínicos, duplos-cegos e com grupo placebo produzem respostas. E eles fazem uma comparação justa. Como que a gente desenha esses estudos? Os estudos randomizados olham pra frente e não pra trás, eles são prospectivos, eles vão ser desenhados exatamente pra responder àquela pergunta. E a pergunta é: será que a cloroquina funciona pra Covid-19? Esses estudos vão comparar grupos diferentes, grupos de pessoas onde uma toma cloroquina, que é o nosso exemplo, e a outra toma um placebo, uma pílula de mentira, de farinha. Esses grupos precisam ser similares em termos da sua composição – por isso, randomizados. Precisa ser duplo-cego, ninguém pode saber o que está acontecendo, pra gente reduzir os nossos vieses, porque nós somos humanos e nós temos vieses. Assim, a gente consegue dar uma resposta para aquela pergunta da cloroquina. Pode passar. Se a gente não fizer isso, senhores, a gente vai ter uma correlação parecida com essa, onde a gente vê um gráfico perfeito, plotado com dados absolutamente reais – os dados desse gráfico são reais –, e a gente vê uma correlação perfeita entre o consumo de queijo muçarela nos Estados Unidos e o número de bolsas de estudo concedidas pra Engenharia Civil. A correlação é perfeita. Se a gente for olhar a correlação da cloroquina assim, a gente pode concluir que, aqui no Brasil, o problema das bolsas de estudo de pós-graduação é muito fácil de resolver: é só as pessoas comprarem mais queijo. Pode passar. Ou a gente pode observar uma curva assim, uma curva epidemiológica. Isto é uma curva de doença epidemiológica, a gente vê que ela tem aí alguns picos. E, muitas vezes, esse tipo de correlação também é feito, essa correlação temporal. Aquela flechinha que os senhores estão vendo lá em cima muitas vezes é colocada como: ""Olhe, eu introduzi tratamento precoce aqui, nessa cidade, Estado, País, e logo em seguida a curva caiu"". Mas isso não é causa e efeito, senhores, isso é correlação. Qualquer coisa poderia estar naquela flechinha. Primeiro, eu tenho que ver se o tratamento precoce também não estava presente no resto do gráfico, onde não teve efeito nenhum. Segundo, eu tenho que ver o que mais aconteceu naquela flechinha. Pode passar. Será que teve uma queda da bolsa de valores nessa flechinha? E, se teve, os senhores será que me diriam que foi a queda da bolsa que provocou a queda da epidemia? Ou, então – pode passar –, teve uma seca muito grande e alguém fez uma dança da chuva. Foi a dança da chuva, então, que provocou – mais um – ou foi a cloroquina? Ou foi porque as pessoas pararam de se movimentar pela cidade, porque ficaram assustadas com o pico da doença e naturalmente se protegeram mais, andaram menos, usaram menos transporte público? Ou foi porque teve uma exaustão do número de pessoas suscetíveis, e esse é o caminho natural da curva de uma epidemia?         Como os senhores podem ver, tem vários fatores que podem influenciar a queda de uma curva, e colocar um único fator dizendo que foi ele a causa não é correto, porque é apenas uma correlação temporal. Pode passar. Pra saber, então, a gente precisa fazer aqueles testes clínicos. Eles começam com um teste pré-clínico, que é quando eu vou avaliar aquela plausibilidade biológica. Começa com estudos in vitro, seguidos de estudos em animais, que precisam ser roedores e não roedores. Então, geralmente, a gente usa camundongos e macacos. Daí, a gente vai – pode passar os três – àquelas três fases de teste clínico em humanos – pode ir mais um, obrigada –, que vocês já conhecem, porque todo mundo acompanhou aqui os testes clínicos de vacina. Nessas fases, a gente vai ver toxicidade, se o remédio realmente tem efeito, qual é a dose segura... E, na Fase III, a comparação justa... Estou terminando, Senador. Na Fase III, então, a gente vai ter aquela comparação justa entre os grupos. Pode passar. Como é que a gente fez, nesse caso, pra cloroquina? A gente não fez nessa ordem, por causa da pandemia e porque a gente teve uma pressão popular e política muito grande pra testar esse medicamento. Se tivesse feito na ordem, já teria parado ali nos pré-clínicos, porque a cloroquina não tinha plausibilidade biológica e nunca funcionou nos testes em animais, mas, como existia uma pressão popular muito grande, acabaram sendo feitos vários estudos. O primeiro foi aquele... Opa! Volte um pouquinho, por favor. Aí! O primeiro foi este, em março do ano passado, feito em células de rins de macaco, que são células genéricas, fáceis de trabalhar no laboratório. Esse estudo mostrou que a cloroquina conseguia bloquear a entrada do vírus nessas células genéricas, que são células onde existe um caminho biológico pra cloroquina atuar. E esse caminho não se concretiza em células do sistema respiratório. A cloroquina só funciona em tubo de ensaio, em células genéricas. Por isso é que ela nunca funcionou em modelo animal, nem em humanos. Pode passar. Em seguida, a gente teve aqui, no Brasil, o famoso estudo de Manaus, que foi um estudo de segurança e de definição de dose, onde eles testaram uma dose baixa e uma dose alta pra cloroquina. E o que eles perceberam? Que a dose alta era perigosa e que a dose baixa não funcionava. Só esse estudo já foi suficiente pra que vários países acendessem um alerta de: ""Opa! Parece que esse negócio não funciona"". Em seguida, a gente teve um estudo muito bom, feito por um grupo alemão bastante experiente com o coronavírus, que estudou justamente as células específicas, não mais as células genéricas de macaco, mas as células do trato respiratório humano, e viu que realmente, nessas células, a cloroquina não funciona, porque a entrada do vírus que ela bloqueia não é a mesma entrada que o vírus usa nas células respiratórias humanas. O vírus, nas nossas células, usa outro caminho, um caminho para o qual a cloroquina não faz nem ""cosquinha"". Daí a gente vê que a cloroquina nunca poderia ter funcionado em humanos. Pode passar. Aí a gente teve um outro estudo. E eu tenho todos esses aqui, eu posso deixar depois com o Presidente. Eu tenho todos esses estudos aqui, catalogados. Esse foi um estudo muito completo, publicado também no meio do ano passado, onde foi avaliada a ação da cloroquina nas células genéricas, nas células do trato respiratório, em animais, em combinação ou não com azitromicina, de todas as maneiras que os senhores podem imaginar: foi uso profilático, foi uso profilático pós-exposição, que é o tratamento precoce – é logo que a pessoa ou o animal é exposto –, foi para casos leves, foi para casos graves... Cobriu tudo! Não funciona em células do trato respiratório, não funciona em camundongos, não funciona em macacos, e também já sabemos que não funciona em humanos.         Senhores, a cloroquina já foi testada em tudo! A gente testou em animais, a gente testou em humanos. A gente só não testou em emas, porque as emas fugiram, mas, no resto, a gente testou em tudo, e não funcionou. Pode passar, por favor. Não contentes com isso, mesmo com todos esses estudos em animais, que já teriam sido suficientes em qualquer outro medicamento para descartar e nem continuar com os estudos em humanos, a gente fez estudos em humanos, inclusive de tratamento precoce, que são os estudos de PEP e PrEP. PEP é a exposição profilática pós-exposição, ou seja, a pessoa foi exposta ao vírus e já começa o tratamento – não dá para ser mais precoce do que isso. Não funcionou. Aí a gente teve os de PrEP, que é profilático. Vamos dar para profissionais de saúde, porque eles são muito expostos: também não funcionou. Ou seja, a gente testou... E isso tudo é no ano passado. Tudo o que está nesse gráfico já era mais do que suficiente para enterrar a cloroquina de vez e a gente poder mover a discussão para coisas mais relevantes. Isso foi no ano passado. Nós estamos pelo menos seis meses atrasados em relação ao resto do mundo, que já descartou a cloroquina. E, aqui no Brasil, a gente continua discutindo isso. O próximo, por favor. Isso é negacionismo, senhores. Isso não é falta de informação. Negar a ciência e usar esse negacionismo em políticas públicas não é falta de informação, é uma mentira e, no caso triste do Brasil, é uma mentira orquestrada, orquestrada pelo Governo Federal e pelo Ministério da Saúde. E essa mentira mata, porque ela leva pessoas a comportamentos irracionais, que não são baseados em ciência. Isso não é só para a cloroquina. A cloroquina aqui é apenas um exemplo. Isso serve para o uso de máscaras, isso serve para o distanciamento social, isso serve para a compra de vacinas que não foi feita em tempo para proteger a nossa população. Esse negacionismo da ciência perpetuado pelo próprio Governo mata. Deixo os senhores com um trecho de um texto que eu publiquei no jornal O Globo: Não se trata de ignorância inocente. É mentir em nome de uma agenda política ou ideológica. Ou de encontrar desculpas para não fazer nada. Quando Jair Bolsonaro nega a pandemia, nega a ciência, e nega o direito à vida dos brasileiros, nega consensos científicos e nega direitos humanos. Mente. Negacionismo é propagação intencional da mentira. E nós não devemos, nunca, permitir que negacionistas ocupem posições de poder. Muito obrigada. "
"10","PRESIDENTE","(Randolfe Rodrigues. Bloco Parlamentar Senado Independente/REDE - AP)","Dra. Natalia Pasternak, muito obrigado. Os quinze segundos que são anunciados é automático no nosso sistema, mas esta Presidência terá a tolerância necessária. E, assim como teve com V. Sa., terá também com o Dr. Cláudio Maierovitch para poder concluir a sua exposição. E a senhora fique à vontade no decorrer, no curso da audiência pública de hoje. "
