"","nomes","cargo_funcao","fala"
"1","




  @import ""https://www.senado.leg.br/atividade/css/impressao.css"";

	
		15/06/2021 - 20ª - CPI da Pandemia
	
	
		
			
				     Horário   Texto com revisão           ","




  @import ""https://www.senado.leg.br/atividade/css/impressao.css"";

	
		15/06/2021 - 20ª - CPI da Pandemia
	
	
		
			
				     Horário   Texto com revisão            ","




  @import ""https://www.senado.leg.br/atividade/css/impressao.css"";

	
		15/06/2021 - 20ª - CPI da Pandemia
	
	
		
			
				     Horário   Texto com revisão            "
"2","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","Bom dia a todos e a todas. Havendo número regimental, declaro aberta a 20ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da Covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais, no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus.         A presente reunião destina-se ao depoimento do Sr. Marcellus Campêlo, ex-Secretário de Saúde do Estado do Amazonas. Esclareço que aqueles que forem regularmente intimados e se negarem a comparecer para depor perante esta CPI terão a sua intimação solicitada ao juiz criminal da localidade em que residam ou se encontrem, nos termos dos arts. 218 e 219 do Código de Processo Penal. Determina o art. 218 que o juiz poderá requisitar à autoridade policial a apresentação da testemunha faltosa ou determinar que seja conduzida por oficial de justiça, o qual poderá solicitar o auxílio da força pública. Nós recebemos um documento do advogado do Sr. Carlos Wizard, e eu encaminhei a seguinte resposta a ele. Diante da manifestação dos advogados do Sr. Carlos Wizard, os quais antes sequer recebiam intimações por esta CPI, presto os seguintes esclarecimentos: foi negado o depoimento telepresencial, incompatível com a dinâmica da CPI, em que se precisa assegurar a incomunicabilidade da testemunha, assegurar que a testemunha permaneça até o final da reunião, dizendo e não calando a verdade, bem como que a testemunha não leia o seu depoimento. Requisitei informações à defesa do convocado: cópia integral do seu passaporte, uma vez que o documento encaminhado só apresenta carimbos e não permite saber se é efetivamente do convocado; e esclarecimentos sobre o recebimento da intimação no endereço do convocado no Brasil – em um primeiro momento, consta dos registros que a correspondência foi entregue ao destinatário. Logo após isso, consta que o destinatário recusou-se a receber a correspondência. Em paralelo, esta Presidência solicitou esclarecimentos adicionais aos Correios. Determino à secretaria... Essa foi a manifestação da CPI ao Sr. Carlos Wizard. Se o Sr. Carlos Wizard não comparecer na quinta, nós iremos tomar as devidas providências com a CPI em relação ao que eu li há pouco. Srs. Senadores, será disponibilizado hoje a todos os Parlamentares desta Comissão uma lista de mais de 2 mil arquivos registrados inicialmente como sigilosos que poderão ter a sua reclassificação para documentos ostensivos. Solicito que todos leiam atentamente essa lista para que possamos votar em Plenário a abertura desses documentos nesta quarta-feira. "
"3","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Sr. Presidente, pela ordem. "
"4","PRESIDENTE","(Omar Aziz. PSD - AM)","Pois não, Senador Eduardo Girão. "
"5","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Pela ordem.)","Primeiramente, desejando a todos os colegas uma semana de serenidade, eu queria, Presidente, saber se... Eu vi que na pauta não está o Requerimento, de minha autoria, nº 102, que na última sessão, quinta-feira, ficou acordado que seria pautado para hoje, do Diretor-Executivo do Consórcio Nordeste, Dr. Carlos Eduardo Gabas. Eu queria saber se o senhor vai colocar para fazermos essa deliberação.         "
"6","PRESIDENTE","(Omar Aziz. PSD - AM)","Sim, nós colocaremos amanhã para votar. Hoje, nós recebemos o documento... Aquele documento que nós estávamos esperando, recebemos ontem e eu nem tive tempo ainda de ler o documento – vou ser sincero com V. Exa. –, mas, conforme acordado, nós pediríamos informações ao Sr. Carlos Gabas, e V. Exa. concordou naquele dia, então, nós votaremos os requerimentos todos amanhã. Pode ser? "
"7","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Tudo bem. Fica compromissado então, não é? "
"8","PRESIDENTE","(Omar Aziz. PSD - AM)","Então, não, vamos votar não só o seu como outros, de outros companheiros aqui que têm outros requerimentos. Pois não, Senador. "
"9","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE. Pela ordem.)","Sr. Presidente, eu queria registrar que apresentei um requerimento a esta CPI solicitando o envio à empresa Azul de uma solicitação de esclarecimentos por fato acontecido na última sexta-feira. O Senhor Presidente da República, acompanhado por um segurança sem máscaras, adentrou a um avião da empresa Azul. Nesse avião, ele começou a bater fotos, recebeu muitas vaias também e retirou a máscara para bater fotos e para professar uma série de impropérios contra quem estava vaiando Sua Excelência. A tripulação e passageiros também tiraram máscaras para que pudessem bater fotos e chegar perto do Presidente. Pois bem, isso, na verdade, é inteiramente ilegal. Nós já vimos, inclusive, aviões voltarem para o hangar porque alguém dentro do voo se recusava a utilizar máscaras. Há uma resolução da Anvisa que determina que a máscara tem que ser usada em todas as instalações aeroportuárias, nas aeronaves e nas instalações aeroportuárias, até nas lojas comerciais que existem no aeroporto. O Presidente da República é alguém que deveria dar exemplo de cumprimento da lei, mas ele se sente muito feliz em descumpri-la, demonstrando que quer ficar acima da lei, diferentemente dos demais cidadãos. Por essa razão, eu apresentei um requerimento à CPI pedindo informações à empresa Azul e, diante do que vier respondido, eu vou recorrer à Anvisa e à Anac. À Anvisa porque é quem determina as normas que têm que ser aplicadas em toda essa... em tudo aquilo que diz respeito à aviação civil. E à Anac porque é a responsável pela sua aplicação. Essa é a primeira questão. A segunda, Sr. Presidente, é que eu estou pedindo ao Tribunal de Contas da União que faça uma auditoria sobre o ato político eleitoral que aconteceu no Estado de São Paulo, no último sábado, quando o Presidente da República promoveu isso que chamaram de ""motociata"". Só o Governo do Estado teve que gastar um R$1,2 milhão para garantir a segurança do evento e da população, a Prefeitura Municipal de São Paulo teve que gastar R$70 mil e a União teve que gastar com aviões que conduziram a comitiva até São Paulo, helicópteros, seguranças com diárias, aeronaves, combustível. O Presidente ainda cometeu infrações contra o Código de Trânsito, porque estava em uma motocicleta com a placa encoberta. Aquele ato é um ato de campanha eleitoral ilegal e extemporânea. E, como tal, eu pedi que se faça uma auditoria e, se for confirmado o gasto ilegal de recurso público, que haja um ressarcimento.         E por último eu queria aqui registrar uma estranheza: o Presidente da República não trabalha? Não trabalha! Eu me fiz essa pergunta e eu mesmo me respondi: não trabalha! No fim de semana ele faz ato político, no meio da semana ele vai para os Estados para fazer atos políticos. Seria tão bom que, no meio de uma pandemia, o Presidente Bolsonaro trabalhasse. Trabalhe, Bolsonaro! O Brasil precisa de um presidente trabalhador. Obrigado! "
"10","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Sr. Presidente, só para pedir um esclarecimento: a pauta de amanhã o senhor pretende liberar até que horas?  A pauta de amanhã. "
